No. 分類 タイトル 出版社 単価 年間(参考価格) 刊行頻度
1, この本読んで! 出版文化振興財団 ,\1100 ,\4400 季刊（4）
2, 本の雑誌 本の雑誌社 ,\770 ,\9240 月刊（12）
3, 書評・出版・読書・美術・工芸 MOE 白泉社 ,\930 ,\11160 月刊（12）
4, 学校図書館 全国学校図書館協議会 ,\770 ,\9240 月刊（12）
5, 現代の図書館 全国学校図書館協議会 ,\1430 ,\5720 季刊（4）
6, ライブラリー・リソース・ガイド（LRG） アカデミック・リソース・ガイド ,\2750 ,\11000 季刊（4）
7, 図書館雑誌 日本図書館協会 ,\1026 ,\12312 月刊（12）
8, 情報・通信技術 日経コンピュータ 日経BP ,\1300 ,\31200 隔週刊（24）
9, CG WORLD 　CG・映像クリエイター総合誌 ボーンデジタル ,\1540 ,\18480 月刊（12）
10, Software Design 技術評論社 ,\1342 ,\16104 月刊（12）
11, 日経Linux 日経BP ,\1830 ,\10980 隔月刊（6）
12, 日経パソコン 日経BP ,\1620 ,\9720 隔月刊（6）
13, 日経PC21 日経BP ,\730 ,\8760 月刊（12）
14, Mac Fan マイナビ出版 ,\870 ,\10440 月刊（12）
15, コンピュータ・情報科学 Interface CQ出版 ,\1020 ,\12240 月刊（12）
16, 電子・情報・通信技術 日経エレクトロニクス 日経BP ,\1000 ,\12000 月刊（12）
17, 日本歴史 吉川弘文館 ,\820 ,\9840 月刊（12）
18, 歴史街道 PHP研究所 ,\790 ,\9480 月刊（12）
19, 歴史人 ABCアーク ,\930 ,\11160 月刊（12）
20, ことりっぷマガジン 昭文社 ,\770 ,\3080 季刊（4）
21, 関西・中国・四国じゃらん　 リクルート ,\590 ,\3540 隔月刊（6）
22, 旅の手帖 交通新聞社 ,\650 ,\7800 月刊（12）
23, Discover Japan　ディスカバー・ジャパン ディスカバー・ジャパン ,\1100 ,\13200 月刊（12）
24, 旅と鉄道 天夢人 ,\1210 ,\7260 隔月刊（6）
25, おとなの週末 講談社 ,\880 ,\10560 月刊（12）
26, 旅行・観光 CREA Traveller 文藝春秋 ,\1350 ,\5400 季刊（4）
27, プレジデントファミリー プレジデント社 ,\1000 ,\4000 季刊（4）
28, 新幼児と保育　－0歳児からの総合保育誌－ 小学館 ,\1100 ,\4400 季刊（4）
29, ちいさいなかま　－保育者と父母を結ぶ雑誌－ ちいさいなかま社 ,\440 ,\5280 月刊（12）
30, 金融・財政・経営・ビジネス 会社四季報 東洋経済新報社 ,\2300 ,\9200 季刊（4）
31, THE 21　－PHP Business－ PHP研究所 ,\760 ,\9120 月刊（12）
32, ビジネスガイド　－労働・社会保険,税務の官庁手続&人事労務の法律実務－ 日本法令 ,\1100 ,\13200 月刊（12）
33, プレジデント　PRESIDENT プレジデント社 ,\780 ,\1560 年2回刊
34, 週刊ダイヤモンド ダイヤモンド社 ,\730 ,\37960 週刊(52)
35, 週刊東洋経済 東洋経済新報社 ,\730 ,\37960 週刊(52)
36, 経済 新日本出版社 ,\1049 ,\12588 月刊（12）
37, 経済セミナー 日本評論社 ,\1518 ,\9108 隔月刊（6）
38, 日経ビジネス 日経BP ,\740 ,\38480 週刊（52）
39, PRESIDENT WOMAN Premier プレジデント社 ,\900 ,\3600 季刊（4）
40, プレジデント プレジデント社 ,\780 ,\18720 月2回刊
41, 地方自治 ガバナンス ぎょうせい ,\1100 ,\13200 月刊（12）
97, 防衛 防衛技術ジャーナル 防衛技術協会 ,\900 ,\10800 月刊（12）
42, 法律 法律・法務 判例タイムズ 判例タイムズ社 ,\3000 ,\36000 月刊（12）
43, 介護・ゲーム レクリエ 世界文化社 ,\2140 ,\12840 隔月刊（6）
44, おはよう21　－介護専門職の総合情報誌－ 中央法規出版 ,\996 ,\11952 月刊（12）
45, ケアマネジャー・介護職のための提案誌　TeLiDe　テリデ ともあ編集部 ,\2200 ,\6600 年3回刊
46, ケアマネジャー 中央法規出版 ,\1047 ,\12564 月刊（12）
47, 月刊福祉 全国社会福祉協議会出版部 ,\1068 ,\12816 月刊（12）
48, Jレスキュー　－消防・防災・レスキューの専門マガジン－ イカロス出版 ,\1320 ,\7920 隔月刊（6）
49, みんなのねがい　－障害者の権利を守り、発達を保障するために－ 全国障害者問題研究会 ,\715 ,\8580 月刊（12）
50, 自然科学 自然科学 子供の科学（児童） 誠文堂新光社 ,\770 ,\9240 月刊
